No.;Electoral Division;No.;Opp;PAP Actual;Opp Actual;Predicted;GE2011;No of voters;Candidate;PAP;Opp;PAP Blogs;Opp Blogs;Percent Blogs;Results
1;Aijunied;5;WP;49.05;50.95;47;45.3;148142;Low Thia Khiang;67317;69929;1190;3317;26.4;0
2;Ang Mo Kio;6;RP;78.63;21.37;69;69.3;187771;Lee Hsien Loong;135115;36711;3621;887;80.32;1
3;Bishan-Toa Payoh;5;SPP;73.6;26.4;61;56.9;129975;Ng Eng Hen;86540;31049;1225;659;65.02;1
4;Bt Batok;1;SDP/Ind;72.99;27.01;70;67;27077;David Ong;18204;6735;149;202;42.45;1
5;Bt Panjang;1;SDP;68.38;31.62;66;66.3;34317;Teo Ho Pin;21935;10143;118;141;45.56;1
6;Chua Chu Kang;4;PPP;76.89;23.11;66;61.2;119931;Gan Kim Yong;84731;25460;470;420;52.81;1
7;East Coast;4;WP;60.73;39.27;49;54.8;99118;Lim Swee Say;54981;35547;1285;1612;44.36;1
8;Fengshan;1;WP;57.52;42.48;47;54.8;23427;Cheryl Chan;12398;9158;292;306;48.83;1
9;Holland-Bt Timah;4;SDP;66.62;33.38;57;60.1;104491;Vivian Balakrishnan;62630;31380;1340;1949;40.74;1
10;Hong Kah North;1;SPP;74.76;25.24;68;70.6;28145;Amy Khor;19612;6621;165;195;45.83;1
11;Hougang;1;WP;42.31;57.69;38;35.2;24097;Png Eng Huat;9543;13012;101;511;16.5;0
12;Jalan Besar;4;WP;67.73;32.27;55;58.6;102540;Yaacob Ibrahim;63561;30283;502;247;67.02;1
13;Jurong;5;SF;79.28;20.72;61;67;130498;Tharman;95080;24848;1091;280;79.58;1
14;Macpherson;1;WP/NSP;65.58;34.42;52;56.6;28511;Tin Pei Ling;17227;9041;429;343;55.57;1
15;Marine Parade;5;WP;64.07;35.93;55;56.6;146244;Tan Chuan Jin;84939;47629;1864;943;66.41;1
16;Marsiling-Yew Tee;4;SDP;68.73;31.27;65;62.6;107599;Lawrence Wong;68485;31157;709;491;59.08;1
17;Mounbatten;1;SPP;71.84;28.16;56;58.6;24143;Lim Biow Chuan;15290;5992;158;58;73.15;1
18;Nee Soon;5;WP;66.83;33.17;57;58.4;132289;Shanmugam;82197;40796;767;334;69.66;1
19;Pasir Ris Punggol;6;SDA;72.89;27.11;68;64.8;187396;Teo Chee Hean;125021;46508;1060;585;64.44;1
20;Pioneer;1;NSP;76.34;23.66;68;60.7;25458;Cedric Foo;17994;5578;83;22;79.05;1
21;Potong Pasir;1;SPP;66.41;33.59;52;50.4;17407;Sitoh Yih Pin;10581;5353;280;570;32.94;1
22;Punggol East;1;WP;51.76;48.24;52;54.5;34466;Charles Chong;16957;15801;585;517;53.09;1
23;Radin Mas;1;RP/Ind;77.25;22.75;70;67.1;28906;Sam Tan;20230;5958;178;476;27.22;1
24;Sembawang;5;NSP;72.28;27.72;66;63.9;144672;Khaw Boon Wan;96639;37067;969;124;88.66;1
25;Seng Kang West;1;WP;62.13;37.87;53;58.1;30119;Lam Pin Min;17584;10716;120;109;52.4;1
26;Tampines;5;NSP;72.06;27.94;62;57.2;143518;Heng Swee Keat;95202;36920;764;391;66.15;1
27;Tanjong Pagar;5;SF;77.71;22.29;55;0;130752;Chan Chun Sing;90448;25943;894;821;52.13;1
28;West Coast;4;RP;78.57;21.43;65;66.6;99300;Lim Hng Kiang;71091;19392;410;694;37.14;1
29;Yuhua;1;SDP;73.54;26.46;64;66.9;22617;Grace Fu;15298;5505;214;131;62.03;1
